09-11;21:42:00.671;194;331738;7082583
09-11;21:42:01.093;422;1374412;26055204
09-11;21:42:02.616;1416;1500247;8475971
09-11;21:42:19.400;637;611592;8475971
09-11;21:42:19.890;490;1164854;19018024
09-11;21:42:22.350;2371;1407994;4750717
09-11;21:42:22.818;376;431998;4750717
09-11;21:42:23.081;263;309414;9191446
09-11;21:42:23.372;202;154750;9191446
09-11;21:42:23.630;258;181468;9191446
09-11;21:42:40.349;80;26921;9191446
09-11;21:44:21.139;1678;289390;4828873
09-11;21:44:21.899;608;282492;3717000
09-11;21:44:24.907;3008;192420;3717000
09-11;21:44:27.377;2331;254581;1379690
09-11;21:44:29.159;1601;287968;1438940
09-11;21:44:30.633;1474;100478;873722
09-11;21:44:31.756;10;1069;873722
09-11;21:44:33.104;1047;165474;873722
09-11;21:44:38.140;437;231718;1438940
09-11;21:44:38.313;174;93682;1438940
09-11;21:44:39.347;905;348790;3083226
09-11;21:44:39.605;142;1069;3083226
09-11;21:44:40.369;657;373847;4241977
09-11;21:44:41.509;1140;564896;3964182
09-11;21:44:41.625;7;1069;3964182
09-11;21:44:45.917;4195;1538136;2933274
09-11;21:44:46.288;226;258296;2933274
09-11;21:44:46.509;220;242138;2933274
09-11;21:44:47.373;750;704636;7516117
09-11;21:45:00.198;1677;1286550;6137388
09-11;21:45:00.461;143;268664;6137388
09-11;21:45:00.839;377;1245931;26438854
09-11;21:45:03.309;2369;1367757;4618850
09-11;21:45:03.567;186;328869;4618850
09-11;21:45:04.378;811;1348764;13304700
09-11;21:45:06.591;2109;1212436;4599093
09-11;21:45:22.684;184;320225;4599093
09-11;21:45:23.004;319;1150058;28841580
09-11;21:45:23.577;495;1584934;25615094
09-11;21:45:24.278;614;723067;25615094
09-11;21:45:24.902;624;1007304;12914153
09-11;21:45:26.596;1594;1537806;7717972
09-11;21:45:43.106;198;219098;7717972
09-11;21:45:44.909;1803;1487052;6598123
09-11;21:45:46.510;1508;1500247;7958870
09-11;21:45:47.074;472;246920;7958870
09-11;21:46:01.260;14184;1513600;853694
09-11;21:47:07.826;1172;432631;2953112
09-11;21:47:07.937;111;15931;2953112
09-11;21:47:08.992;1012;426108;3368442
09-11;21:47:09.031;41;48804;3368442
09-11;21:47:09.307;161;1069;3368442
09-11;21:47:11.160;1759;898131;4084734
09-11;21:47:11.484;213;158811;4084734
09-11;21:47:12.416;393;850291;5964732
09-11;21:47:14.920;2357;1575268;5346688
09-11;21:47:15.527;496;448546;5346688
09-11;21:47:17.712;2186;1280520;4686258
09-11;21:47:20.250;2427;1297931;4278305
09-11;21:47:20.607;266;478037;4278305
09-11;21:47:21.011;403;1239715;24609728
09-11;21:47:23.303;2200;1538136;5593221
09-11;21:47:40.824;142;159734;5593221
09-11;21:47:41.214;390;723451;8999098
09-11;21:47:42.878;1558;1286550;6606161
09-11;21:47:43.285;300;269644;6606161
09-11;21:47:44.658;1372;1244951;7259189
09-11;21:47:45.434;652;1367757;16782294
09-11;21:48:01.760;1105;665381;16782294
09-11;21:48:02.937;1176;1012252;6886068
09-11;21:48:06.240;3197;1212436;3033934
09-11;21:48:06.601;106;1069;3033934
09-11;21:48:07.921;956;522979;3033934
09-11;21:48:08.407;486;267022;4376393
09-11;21:48:09.850;1309;1584934;9686380
09-11;21:48:10.386;406;396411;9686380
09-11;21:48:11.464;1079;1333960;9890342
09-11;21:48:13.282;1703;1537806;7223985
09-11;21:48:30.614;255;338778;7223985
09-11;21:48:31.498;884;1367372;12374407
09-11;21:48:32.477;900;1500247;13335528
09-11;21:48:33.015;396;265224;13335528
09-11;21:48:34.477;1462;1511222;8269340
09-11;21:48:35.767;1166;1407994;9660336
09-11;21:48:52.409;587;285566;9660336
09-11;21:48:52.999;590;455846;6180962
09-11;21:48:53.272;150;130814;6180962
09-11;21:48:53.612;340;205404;6180962
09-11;21:48:53.769;70;26921;6180962
