cqi              mcs              brateDown           bler                snr                   phr                   mcs             brateU           bler                                                                         bsr        
 14.4 ,            25.4,          1130000.0,          2.1      ,           6.66      ,           36.5      ,          2.16 ,          277   ,            1.9      ,          1024                             22:07:5549 1024       0.0        ,          
 15.0 ,            26.7,          819999.0 ,          0        ,           2.20      ,           29.6      ,          0.0  ,          202   ,          15         ,          480                              22:07:5646 480        0.0        ,          
 12.6 ,            20.9,          186000.0 ,          4.3      ,           1.72      ,           35.8      ,          0.0  ,          73.2  ,          40         ,          320                              22:07:5647 320        0.0        ,          
 13.9 ,            23.2,          964000.0 ,          0        ,           4.52      ,           37.5      ,          0.0  ,          244   ,            2.3      ,          1024                             22:07:5648 1024       0.0        ,          
 15.0 ,            26.5,          756000.0 ,          0        ,           6.84      ,           36.1      ,          2.44 ,          215   ,            2.9      ,          1024                             22:07:5649 1024       0.0        ,          
 15.0 ,            26.8,          518000.0 ,          0        ,           2.23      ,           28.8      ,          0.0  ,          158   ,          16         ,          480                              22:07:5746 480        0.0        ,          
 8.33 ,            14.6,          290000.0 ,          7.8      ,           1.96      ,           35.0      ,          0.0  ,          64.5  ,          38         ,          320                              22:07:5747 320        0.0        ,          
 13.4 ,            23.1,          1000000.0,          0        ,           4.45      ,           37.3      ,          0.0  ,          278   ,            1.8      ,          1024                             22:07:5748 1024       0.0        ,          
 14.4 ,            26.1,          802000.0 ,          1.1      ,           6.43      ,           36.1      ,          1.67 ,          202   ,            2.3      ,          1024                             22:07:5749 1024       0.0        ,          
 15.0 ,            26.4,          529000.0 ,          0        ,           2.21      ,           31.0      ,          0.0  ,          137   ,          35         ,          480                              22:07:5846 480        0.0        ,          
 13.6 ,            23.7,          341000.0 ,          6.5      ,           2.61      ,           35.2      ,          0.0  ,          84.6  ,          30         ,          1280                             22:07:5847 1280       0.0        ,          
 14.5 ,            24.7,          777000.0 ,          1.5      ,           5.35      ,           38.2      ,          1.09 ,          292   ,            4.9      ,          1024                             22:07:5848 1024       0.0        ,          
 15.0 ,            26.5,          917000.0 ,          2.2      ,           6.77      ,           35.3      ,          1.91 ,          248   ,          0          ,          1280                             22:07:5849 1280       756        ,          
 15.0 ,            25.1,          289000.0 ,          1.1      ,           2.35      ,           30.8      ,          0.0  ,          141   ,          27         ,          480                              22:07:5946 480        0.0        ,          
 13.8 ,            21.9,          326000.0 ,          5.2      ,           3.50      ,           34.9      ,          0.0  ,          165   ,          22         ,          1280                             22:07:5947 1280       0.0        ,          
 12.8 ,            18.1,          579000.0 ,          0        ,           5.56      ,           37.7      ,          0.0  ,          280   ,            2.6      ,          1024                             22:07:5948 1024       0.0        ,          
 15.0 ,            25.8,          556000.0 ,          1.4      ,           7.65      ,           36.2      ,          3.31 ,          264   ,            5.1      ,          1280                             22:07:5949 1280       0.0        ,          
 15.0 ,            24.6,          165000.0 ,          1.2      ,           2.81      ,           28.8      ,          0.0  ,          50.8  ,          24         ,          480                              22:08:0046 480        0.0        ,          
 13.1 ,            22.2,          397000.0 ,          3.3      ,           4.33      ,           36.1      ,          0.0  ,          123   ,          11         ,          1280                             22:08:0047 1280       0.0        ,          
 13.2 ,            21.7,          838000.0 ,          8.8      ,           5.84      ,           37.8      ,          1.23 ,          250   ,            1.9      ,          1024                             22:08:0048 1024       0.0        ,          
 15.0 ,            25.3,          322000.0 ,          0        ,           7.57      ,           35.9      ,          2.86 ,          121   ,            4.1      ,          1280                             22:08:0049 1280       0.0        ,          
 15.0 ,            26.5,          520      ,          0        ,           3.71      ,           30.0      ,          0.0  ,          33.1  ,          20         ,          480                              22:08:0146 480        0.0        ,          
 13.0 ,            23.1,          397000.0 ,          11       ,           1.96      ,           35.0      ,          0.0  ,          114   ,          40         ,          1280                             22:08:0147 1280        69.0      ,          
 13.9 ,            24.7,          1310000.0,          1.5      ,           5.05      ,           36.7      ,          0.0  ,          317   ,            1.4      ,          1024                             22:08:0148 1024       0.0        ,          
 15.0 ,            26.9,          1030000.0,          0        ,           6.41      ,           35.1      ,          1.71 ,          275   ,          0          ,          1280                             22:08:0149 1280        57.0      ,          
 14.4 ,            25.2,          537000.0 ,          0        ,           3.46      ,           31.4      ,          0.0  ,          166   ,            8.1      ,          480                              22:08:0246 480        248        ,          
 12.7 ,            23.8,          106000.0 ,          7.3      ,           1.19      ,           37.0      ,          0.0  ,          36.1  ,          57         ,          768                              22:08:0247 768        0.0        ,          
 12.7 ,            21.5,          998000.0 ,          6.2      ,           4.94      ,           37.3      ,          0.0  ,          246   ,            2.6      ,          1024                             22:08:0248 1024       0.0        ,          
 15.0 ,            26.7,          992000.0 ,          0        ,           6.95      ,           35.7      ,          1.92 ,          263   ,          0          ,          768                              22:08:0249 768        0.0        ,          
 15.0 ,            26.8,          610000.0 ,          4.0      ,           2.59      ,           35.7      ,          0.0  ,          147   ,          19         ,          480                              22:08:0346 480        0.0        ,          
 13.2 ,            16.1,          153000.0 ,          2.9      ,           1.44      ,           35.0      ,          0.0  ,          24.4  ,          59         ,          768                              22:08:0347 768        0.0        ,          
 14.4 ,            26.5,          731000.0 ,          0        ,           4.79      ,           37.2      ,          0.0  ,          217   ,            1.0      ,          1024                             22:08:0348 1024       0.0        ,          
 14.0 ,            24.0,          1240000.0,          0        ,           5.71      ,           35.9      ,          0.0  ,          293   ,            1.1      ,          768                              22:08:0349 768        0.0        ,          
 14.5 ,            25.2,          453000.0 ,          0        ,           4.16      ,           31.9      ,          0.0  ,          172   ,          0          ,          480                              22:08:0446 480        0.0        ,          
 15.0 ,            25.5,          114999.09,          7.4      ,           1.96      ,           35.8      ,          0.0  ,          39.9  ,          35         ,          768                              22:08:0447 768        0.0        ,          
 13.9 ,            23.4,          1170000.0,          1.8      ,           5.14      ,           36.7      ,          0.0  ,          311   ,            1.8      ,          1024                             22:08:0448 1024       0.0        ,          
 11.0 ,            19.5,          815000.0 ,          2.9      ,           5.39      ,           36.8      ,          1.03 ,          202   ,            1.9      ,          768                              22:08:0449 768        0.0        ,          
 14.4 ,            25.7,          738000.0 ,          1.8      ,           2.36      ,           32.1      ,          0.0  ,          199   ,            7.5      ,          480                              22:08:0546 480        0.0        ,          
 15.0 ,            22.6,          382      ,          24       ,            0.0      ,           33.0      ,          0.0  ,          22.6  ,          65         ,          768                              22:08:0547 768        0.0        ,          
 15.0 ,            26.8,          1330000.0,          0        ,           5.95      ,           35.1      ,          0.0  ,          319   ,          0          ,          1024                             22:08:0548 1024       0.0        ,          
 11.3 ,            20.8,          701000.0 ,          1.5      ,           2.44      ,           33.5      ,          0.0  ,          162   ,          11         ,          768                              22:08:0549 768        0.0        ,          
 15.0 ,            26.8,          785000.0 ,          0        ,           2.85      ,           32.1      ,          0.0  ,          286   ,            3.0      ,          480                              22:08:0646 480        0.0        ,          
 15.0 ,            24.5,          262      ,          6.7      ,            0.0      ,           33.5      ,          0.0  ,          14.1  ,          84         ,          768                              22:08:0647 768        0.0        ,          
 15.0 ,            27.0,          1590000.0,          0        ,           5.90      ,           35.8      ,          0.0  ,          346   ,          0          ,          1024                             22:08:0648 1024       338        ,          
 8.88 ,            14.7,          409000.0 ,          1.3      ,           2.07      ,           33.7      ,          0.0  ,          123   ,          15         ,          768                              22:08:0649 768        0.0        ,          
