@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE mcsDown REAL
@ATTRIBUTE brateDown REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE mcsUp REAL
@ATTRIBUTE brateUp REAL
@ATTRIBUTE blerUp REAL

@ATTRIBUTE class {320,480,640,768,1024,1280,1920}


@DATA
13.9,22.4,774000.0,4.7,3.49,37.5,0.0,212,13,1024
15.0,27.0,1140000.0,0,11.7,29.4,6.56,299,0,1024
15.0,26.5,437000.0,0,2.10,30.7,0.0,123,16,768
3.00,0.0,0.0,0,2.42,0.0,7.50,0.0,100,320
15.0,26.9,1880000.0,0,4.49,35.1,0.0,431,1.3,1024
15.0,26.8,805000.0,0,9.15,29.1,4.35,329,0,1024
15.0,26.6,404000.0,1.4,2.62,31.0,0.0,98.3,17,768
5.40,0.0,12.2,17,2.01,33.5,0.0,19.5,35,320
15.0,26.7,1490000.0,0,5.00,36.9,0.0,356,0,1024
15.0,27.0,1170000.0,0,9.92,30.7,5.22,256,0,1024
14.0,23.0,260000.0,1.5,3.63,30.5,0.0,90.8,13,768
3.60,0.0,0.0,0,0.0,0.0,0.0,0.0,100,320
15.0,26.8,1800000.0,0,5.92,36.7,0.0,459,0,1024
15.0,26.7,880000.0,0,8.91,31.5,4.02,217,0,1024
15.0,26.9,1040000.0,0,4.00,30.9,0.0,287,4.8,1024
1.46,0.0,325,2.8,2.42,35.5,1.11,33.9,49,320
15.0,26.6,465000.0,0,5.85,37.5,0.0,116,2.5,1024
15.0,26.4,938000.0,0,8.35,31.4,2.98,245,2.6,1024
15.0,26.6,687000.0,0,3.74,30.6,0.0,330,1.5,1024
3.13,3.41,893,19,2.13,36.3,0.0,42.0,42,320
13.4,22.8,811000.0,1.3,5.09,36.4,0.0,223,0,1024
15.0,27.0,802999.0,0,9.19,31.2,3.86,175,1.2,1024
14.4,25.7,738000.0,0,2.66,30.4,0.0,230,1.6,1024
1.25,1.44,553,18,2.43,35.0,0.0,29.0,33,320
15.0,27.0,852000.0,0,5.94,36.4,0.0,246,1.4,1024
15.0,27.0,790000.0,0,8.46,30.6,3.61,165,0,1024
15.0,26.9,783000.0,0,2.81,31.6,0.0,302,0,1024
3.00,4.82,137000.0,14,2.99,34.0,0.0,49.9,17,320
15.0,26.5,606000.0,0,5.98,36.3,0.0,206,0,1280
15.0,26.9,958000.0,0,8.80,31.4,4.14,230,0,1024
15.0,27.0,793000.0,0,3.05,30.8,0.0,262,0,1024
0.0,0.0,298,11,1.56,35.0,0.0,12.3,46,320
15.0,27.0,692000.0,0,6.24,36.7,1.06,198,0,1280
15.0,27.0,893000.0,0,8.85,32.2,3.93,199,0,1024
15.0,26.9,1090000.0,0,3.18,31.9,0.0,301,0,1024
0.0,2.71,678,3.5,2.76,0.0,0.0,0.0,100,320
15.0,27.0,1040000.0,0,6.49,36.1,1.43,332,0,1280
15.0,26.6,433000.0,0,8.52,31.8,3.58,100,0,1024
15.0,26.8,1060000.0,0,3.03,31.2,0.0,290,1.4,1024
2.73,2.55,512,8.7,2.07,34.0,0.0,64.4,33,320
15.0,26.5,930000.0,1.5,5.90,35.8,1.10,435,3.4,1280
15.0,26.8,624000.0,0,8.44,31.9,3.94,137,0,1280
15.0,27.0,918000.0,0,3.06,31.8,0.0,254,1.9,1024
1.20,0.0,400,8.0,1.67,34.0,0.0,19.8,50,320
15.0,26.7,643000.0,0,6.22,36.2,1.45,205,1.9,1280
15.0,26.7,902999.0,0,9.15,32.5,3.65,191,0,1280
15.0,27.0,1270000.0,0,3.31,30.8,0.0,309,1.0,1024
0.0,0.0,412,0,2.37,34.0,0.0,37.3,46,320
15.0,26.9,655000.0,0,6.60,36.8,1.65,237,0,1280
15.0,26.2,433000.0,0,8.95,32.0,4.60,139,0,1280
15.0,27.0,851000.0,0,3.31,32.0,0.0,253,1.1,1024
0.0,0.0,309,8.0,2.65,34.7,0.0,21.6,26,320
15.0,26.5,471000.0,0,6.20,37.0,1.25,135,2.5,1280
15.0,26.9,1050000.0,0,10.1,32.3,5.08,210,0,1280
14.4,26.3,1680000.0,0,3.66,31.9,0.0,378,0,1024
3.20,7.98,462,3.2,1.82,35.5,0.0,12.3,65,320
15.0,25.8,214000.0,0,5.98,36.7,1.88,81.7,12,1280
15.0,26.6,749000.0,0,8.49,30.5,3.06,170,0,1280
14.4,25.6,1060000.0,1.9,2.48,30.4,0.0,255,10,1024
0.0,0.0,333,1.2,1.46,34.0,0.0,14.1,62,320
15.0,27.0,780000.0,0,7.65,36.8,2.79,201,2.1,1280
15.0,26.5,451999.04,0,8.07,33.2,3.14,106,5.3,1280
12.6,23.7,852999.0,1.1,2.32,31.2,0.0,221,4.9,1024
10.6,6.67,986,17,1.66,34.0,0.0,42.0,39,320
15.0,25.8,405999.04,0,6.82,36.1,1.86,127,6.5,1280
15.0,26.2,978999.0,0,8.36,33.2,3.60,223,0,1280
14.3,25.4,1710000.0,0,3.18,30.9,0.0,354,1.8,1024
15.0,25.2,989,8.0,1.89,37.0,0.0,29.2,51,320
15.0,25.9,399000.0,0,6.68,37.8,3.01,122,11,1280
15.0,26.1,482000.0,1.8,7.87,32.9,2.88,130,2.5,1280
10.4,20.2,767000.0,4.2,2.15,32.8,0.0,218,19,1024
14.0,24.3,575,0,2.75,34.0,0.0,18.5,41,320
15.0,26.1,412000.0,2.5,6.36,36.2,2.39,125,15,1280
15.0,26.2,746000.0,0,7.96,34.5,3.04,164,0,1280
12.1,20.1,1070000.0,13,3.79,31.4,0.0,265,3.4,1024
9.80,26.0,576,3.8,1.63,34.0,0.0,23.7,46,320
15.0,26.2,844000.0,0,7.14,36.0,2.21,196,0,1280
15.0,26.2,765000.0,0,7.88,31.5,2.85,186,2.1,1280
15.0,27.0,1400000.0,0,2.70,31.4,0.0,330,1.8,1280
1.46,1.13,98.8,7.8,1.34,34.0,0.0,22.4,53,320
15.0,26.1,499000.0,0,6.03,36.2,0.0,142,3.2,1280
15.0,26.3,1060000.0,0,8.07,31.5,2.97,234,3.2,1280
15.0,26.8,1019999.0,0,2.80,30.8,0.0,268,0,1280
1.25,1.63,499,9.5,1.36,34.0,0.0,19.8,47,320
15.0,26.8,823000.0,0,7.20,35.9,2.58,255,5.7,1280
15.0,26.3,430999.04,0,8.45,33.3,3.20,126,1.1,1280
14.4,25.4,1110000.0,0,2.52,30.4,0.0,284,0,1280
0.0,0.0,329,2.4,1.33,34.0,0.0,15.0,57,320
15.0,26.3,422000.0,0,7.10,35.9,2.10,125,1.1,1280
15.0,26.7,763000.0,0,9.38,30.2,4.16,154,2.5,1280
15.0,27.0,926000.0,0,2.46,31.3,0.0,330,2.2,1280
0.0,0.0,330,15,0.0,34.0,0.0,13.0,58,320
15.0,26.8,657000.0,0,7.10,36.5,1.89,188,0,1280
15.0,26.9,856000.0,0,7.68,31.9,2.51,171,0,1280
15.0,26.9,1170000.0,0,2.60,31.6,0.0,295,0,1280
2.29,3.56,939,12,1.15,34.0,0.0,37.2,51,320
15.0,26.7,619000.0,0,7.24,35.4,2.18,171,0,1280
15.0,26.6,554000.0,0,8.72,33.0,3.91,119,0,1280
15.0,26.6,897000.0,0,2.86,30.5,0.0,243,0,1280
3.00,4.53,127000.0,6.3,2.69,34.1,0.0,49.8,31,320
15.0,26.3,467000.0,0,6.95,36.2,2.16,144,1.8,1280
15.0,26.5,664000.0,0,8.29,31.3,3.13,153,2.0,1280
14.4,25.6,664000.0,1.2,2.75,31.2,0.0,199,5.2,1280
5.00,8.35,568,46,1.32,37.0,0.0,25.0,52,320
15.0,26.4,1100000.0,0,7.38,35.4,2.09,252,1.2,1280
15.0,26.7,819999.0,0,8.14,31.4,2.87,171,0,1280
15.0,26.9,1420000.0,0,2.63,31.4,0.0,331,0,1280
1.88,2.09,825,7.7,1.53,34.0,0.0,27.7,59,320
15.0,26.1,365000.0,0,6.76,35.7,1.33,115,0,1280
15.0,26.4,521000.0,0,7.94,32.3,2.83,133,0,1280
15.0,26.0,620000.0,0,3.25,32.8,0.0,293,0,1280
4.80,3.51,574,5.7,2.43,37.0,0.0,29.3,28,320
15.0,26.0,466000.0,1.7,7.59,37.9,2.76,192,3.9,1280
15.0,26.1,637000.0,0,8.81,33.6,3.85,260,4.1,1280
15.0,25.6,534000.0,0,2.96,31.1,0.0,176,2.3,1280
6.25,4.13,795,7.0,2.29,34.0,0.0,22.8,32,320
15.0,25.3,399000.0,0,7.71,37.2,3.07,142,1.9,1280
14.4,24.6,925000.0,0,9.40,30.9,4.40,248,0,1280
15.0,26.9,811999.0,0,2.70,30.4,0.0,229,0,1280
3.00,3.68,101000.0,4.5,0.0,34.7,0.0,24.4,61,320
15.0,27.0,635000.0,0,7.38,36.9,2.16,200,0,1280
15.0,26.8,866000.0,0,8.26,33.7,3.16,216,2.8,1280
15.0,27.0,787000.0,0,2.64,32.4,0.0,240,0,1280
1.40,2.20,706,3.3,1.42,34.0,0.0,25.8,51,320
15.0,27.0,824000.0,0,7.25,36.1,2.37,232,0,1280
15.0,27.0,791000.0,0,8.51,32.6,3.23,194,2.3,1280
15.0,27.0,952999.0,0,2.57,32.8,0.0,281,1.1,1280
7.40,4.42,811,1.9,1.75,40.0,0.0,26.1,39,320
15.0,26.6,680000.0,0,7.70,36.3,2.86,206,0,1280
15.0,26.8,1010000.0,0,8.73,32.1,3.60,230,2.9,1280
15.0,26.9,765000.0,3.2,2.00,31.2,0.0,208,25,1280
