09-12 12:35:28.598;1442;1176810;6528765;;;;;;;;
09-12 12:35:44.743;1179;1584934;10754429;;;;;;;;
09-12 12:35:45.275;421;300667;10754429;;;;;;;;
09-12 12:35:46.962;1686;1429704;6783886;;;;;;;;
09-12 12:35:47.820;733;1537806;16783694;;;;;;;;
09-12 12:35:48.253;338;237402;16783694;;;;;;;;
09-12 12:35:49.891;1638;1468748;7173372;;;;;;;;
09-12 12:36:05.566;680;1500247;17649964;;;;;;;;
09-12 12:36:06.020;345;414472;17649964;;;;;;;;
09-12 12:36:06.541;519;1361974;20993818;;;;;;;;
09-12 12:36:07.884;1242;1407994;9069204;;;;;;;;
09-12 12:36:08.340;335;275710;9069204;;;;;;;;
09-12 12:36:08.991;651;465702;6584119;;;;;;;;
09-12 12:36:26.804;557;196990;5722912;;;;;;;;
09-12 12:36:27.280;476;139228;5722912;;;;;;;;
09-12 12:36:27.454;70;26921;5722912;;;;;;;;
09-12 12:38:25.799;781;289390;3359267;;;;;;;;
09-12 12:38:26.173;256;308765;7532652;;;;;;;;
09-12 12:38:26.332;160;166147;7532652;;;;;;;;
09-12 12:38:26.560;145;1069;7532652;;;;;;;;
09-12 12:38:27.732;1097;898131;6549724;;;;;;;;
09-12 12:38:28.067;251;397790;8307350;;;;;;;;
09-12 12:38:28.329;261;611312;12678565;;;;;;;;
09-12 12:38:29.351;922;1575268;13668268;;;;;;;;
09-12 12:38:29.898;424;359842;13668268;;;;;;;;
09-12 12:38:31.468;1570;1369224;6976937;;;;;;;;
09-12 12:38:33.500;1920;1297931;5408045;;;;;;;;
09-12 12:38:33.940;338;302037;5408045;;;;;;;;
09-12 12:38:35.014;1074;1415715;10545363;;;;;;;;
09-12 12:38:54.805;1262;1538136;9750465;;;;;;;;
09-12 12:38:55.121;192;265334;9750465;;;;;;;;
09-12 12:38:55.468;347;617851;11055583;;;;;;;;
09-12 12:38:56.367;772;1286550;13332124;;;;;;;;
09-12 12:38:56.684;204;330188;13332124;;;;;;;;
09-12 12:38:57.241;557;1184407;17011232;;;;;;;;
09-12 12:39:14.615;669;1367757;16355838;;;;;;;;
09-12 12:39:15.025;310;317605;16355838;;;;;;;;
09-12 12:39:15.572;547;1360028;19890720;;;;;;;;
09-12 12:39:17.187;1497;1212436;6479283;;;;;;;;
09-12 12:39:17.619;315;316001;6479283;;;;;;;;
09-12 12:39:18.401;784;1154282;11778387;;;;;;;;
09-12 12:39:19.285;770;1584934;16466846;;;;;;;;
09-12 12:39:38.085;351;294267;16466846;;;;;;;;
09-12 12:39:39.931;1846;1436104;6223635;;;;;;;;
09-12 12:39:41.389;1357;1537806;9065915;;;;;;;;
09-12 12:39:41.813;318;286682;9065915;;;;;;;;
09-12 12:39:43.221;1409;1419468;8059435;;;;;;;;
09-12 12:39:44.364;1045;1500247;11485144;;;;;;;;
09-12 12:39:44.766;272;255368;11485144;;;;;;;;
09-12 12:39:46.315;1548;1521078;7860868;;;;;;;;
09-12 12:40:05.155;834;1407994;13505937;;;;;;;;
09-12 12:40:05.701;426;360190;13505937;;;;;;;;
09-12 12:40:06.119;418;381222;7296114;;;;;;;;
09-12 12:40:06.479;282;153342;7296114;;;;;;;;
09-12 12:40:06.884;404;182876;6764131;;;;;;;;
09-12 12:40:07.228;251;26921;6764131;;;;;;;;
