@relation VideoQuality-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute cqi numeric
@attribute mcsDown numeric
@attribute brateDown numeric
@attribute blerDown numeric
@attribute snr numeric
@attribute phr numeric
@attribute mcsUp numeric
@attribute brateUp numeric
@attribute blerUp numeric
@attribute bsr numeric
@attribute class {A,B,C,D,E,F,G}

@data
1,0.996296,0.735294,0,0.380368,0.853081,0.168067,0.434633,0.014,0,B
1,0.992593,0.359314,0,0.650307,0.790721,0.52521,0.266055,0.068,0,F
0.72,0.696296,0.332843,0.047917,0.366258,0.765777,0.17563,0.255734,0.065,0,F
0.76,0.224074,0.000242,0.15625,0.123313,0.93789,0,0.040826,0.55,0,E
1,0.988889,0.534314,0,0.400613,0.888002,0.180672,0.329128,0.037,0,B
1,0.974074,0.338726,0,0.593865,0.865553,0.437815,0.288991,0.13,0,F
0.16,0.233704,0.096078,0.066667,0.325153,0.725867,0.291597,0.084862,0.2,0,F
0.76,0.392593,0.000151,0.032292,0.190184,0.873036,0.141176,0.030849,0.39,0,E
1,0.996296,0.715687,0,0.39816,0.850586,0.170588,0.383028,0,0,B
1,1,0.395098,0,0.644172,0.768271,0.623529,0.208716,0.14,0,D
0.370667,0.296667,0.127941,0.102083,0.533742,0.720878,0.47479,0.146789,0.096,0,F
0.746667,0,0,0,0.195092,0.97331,0.015966,0.019495,0.52,0,E
1,0.981481,0.607843,0,0.355215,0.890496,0.171429,0.356651,0.065,0,B
1,0.981481,0.290196,0,0.590798,0.808182,0.466387,0.275229,0.071,0.574635,D
0.28,0.307778,0.135784,0.177083,0.394479,0.723372,0.207563,0.146789,0.08,0.574635,F
0.72,0.437037,0.000311,0.104167,0.074847,0.89798,0,0.002878,0.86,0,E
1,0.988889,0.696079,0,0.41411,0.873036,0.219328,0.37844,0.034,0,B
1,0.992593,0.368137,0,0.595706,0.853081,0.409244,0.252294,0.055,0.35578,D
0.4,0.311111,0.127941,0.025,0.510429,0.7109,0.306723,0.115826,0,0,F
0.8,0.36,0.00024,0.125,0.111656,0.89798,0,0.041628,0.52,0,E
1,0.992593,0.52451,0,0.423313,0.883013,0.256303,0.306193,0.12,0.231201,B
0.88,0.925926,0.371079,0.015625,0.577914,0.783238,0.413445,0.252294,0.053,0,D
0.146667,0.154074,0.061765,0.047917,0.385276,0.718384,0.27563,0.084748,0.16,0.574635,F
1,0,0,0,0.14908,0,0,0,1,0,A
1,0.996296,0.764706,0,0.433129,0.895485,0.207563,0.449541,0.018,0,B
1,0.962963,0.372059,0,0.539877,0.843103,0.355462,0.252294,0.085,0,D
0.264,0.185185,0.070098,0.04375,0.438037,0.703417,0.187395,0.094495,0,0,F
1,0.925926,0.000006,0,0.110429,0.922923,0,0.00805,0.78,0,A
1,1,0.77451,0,0.369939,0.865553,0.147059,0.436927,0.016,0,B
1,1,0.397059,0.011458,0.589571,0.7109,0.545378,0.258028,0.2,0,D
0,0.069259,0.00037,0.059375,0.262577,0.69344,0.17395,0.031537,0.24,0,F
1,0,0,0,0.374847,0.002245,0.021008,0,1,0,A
1,1,0.764706,0,0.625767,0.850586,0.489916,0.387615,0.038,0,B
1,0.992593,0.439706,0,0.558896,0.723372,0.443697,0.318807,0.12,0,D
0.16,0.190741,0.071078,0.065625,0.480982,0.65353,0.366387,0.060092,0.08,0,F
0.913333,0.792593,0.000036,0.145833,0.236196,0.89798,0.180672,0.001445,0.92,0,A
1,0.992593,0.696079,0,0.519018,0.885508,0.44958,0.47133,0.1,0,B
1,0.996296,0.483823,0,0.415337,0.7109,0.241176,0.46445,0.071,0,D
0.16,0.165926,0.065686,0.04375,0.298773,0.690945,0.12437,0.045872,0.065,0,F
1,0.955556,0.000052,0,0,0,0.420168,0,1,0,A
1,0.992593,0.642157,0,0.6,0.892991,0.423529,0.349771,0.014,0,B
1,0.977778,0.278432,0.021875,0.723926,0.745822,0.715966,0.165138,0.15,0,C
0.4,0.411111,0.173039,0.04375,0.457055,0.738339,0.387395,0.155963,0.11,0,D
0.608,0.114444,0.000083,0.086458,0.160123,0.940384,0.228571,0.022018,0.45,0,A
1,1,0.715687,0,0.561963,0.878024,0.431092,0.416284,0.059,0,B
1,0.996296,0.358334,0,0.705521,0.745822,0.721008,0.309633,0.14,0,C
0.2,0.255185,0.097549,0.102083,0.283436,0.73335,0.190756,0.065023,0.15,0.008979,D
0.96,0.284815,0.000146,0.097917,0.16319,0.922923,0,0.025344,0.48,0,A
1,1,0.725491,0,0.571779,0.880519,0.421849,0.474771,0.054,0,B
1,0.955556,0.237745,0.011458,0.840491,0.738339,0.751261,0.269495,0.056,0,C
0.68,0.507407,0.27353,0.044792,0.545399,0.788226,0.378992,0.251147,0.032,0,D
0.48,0.156667,0.000308,0.085417,0.214724,0.922923,0,0.017202,0.5,0,A
1,0.918519,0.208824,0,0.604294,0.870541,0.478992,0.237385,0.026,0,B
1,0.974074,0.3,0.023958,0.742331,0.698429,0.771429,0.201835,0.12,0,C
0.56,0.503704,0.260784,0.072917,0.365644,0.780743,0.255462,0.202982,0.094,0,D
0.48,0.158519,0.000233,0.083333,0.109816,0.892991,0,0.071445,0.45,0,A
1,0.959259,0.382843,0.015625,0.494479,0.843103,0.386555,0.220183,0.091,0,D
1,0.988889,0.529412,0.0125,0.742331,0.638563,0.731933,0.308486,0.15,0.414141,C
0.36,0.374074,0.156373,0.022917,0.357669,0.77326,0.229412,0.123853,0.12,0,D
0.706667,0.47037,0.000224,0.072917,0.107975,0.873036,0,0.035436,0.55,0,A
1,0.977778,0.378432,0,0.588344,0.870541,0.452101,0.283257,0.019,0.328844,D
1,0.966667,0.622549,0.015625,0.834356,0.675979,0.840336,0.366972,0.12,0,C
0.32,0.625926,0.116177,0.054167,0.50184,0.905463,0.378151,0.063761,0.11,0,D
0.632,0.120741,0.000088,0.260417,0,0,0.308403,0,1,0,A
1,0.92963,0.215686,0,0.631902,0.858069,0.540336,0.219037,0.052,0,D
1,0.966667,0.346079,0.025,0.809816,0.638563,0.819328,0.256881,0.18,0,C
0.52,0.4,0.153431,0.114583,0.469939,0.79571,0.477311,0.115826,0.22,0,D
0.464,0.235556,0.000085,0.458333,0,0,0,0,1,0,A
1,0.92963,0.29853,0.021875,0.638037,0.868047,0.551261,0.256881,0.1,0,D
0.993333,0.992593,0.700981,0.060417,0.791411,0.668496,0.744538,0.321101,0.1,0,C
0.28,0.362593,0.086765,0.125,0.304294,0.743328,0.196639,0.080046,0.079,0,D
0.706667,0.52963,0.000025,0.770833,0,0,0,0,1,0,A
1,0.948148,0.335294,0.023958,0.470552,0.845597,0.393277,0.204128,0.17,0,D
0.986667,0.985185,0.5,0.114583,0.883436,0.7109,0.865546,0.295872,0.091,0,C
0.44,0.407407,0.193137,0.054167,0.409202,0.77326,0.302521,0.144495,0.21,0,D
0.571333,0.063333,0.000118,0.034375,0.093865,0.922923,0,0.025573,0.47,0.250281,A
1,0.914815,0.188235,0.021875,0.520245,0.870541,0.490756,0.229358,0.15,0,D
1,0.959259,0.19853,0.030208,0.865031,0.763283,0.757983,0.12844,0.054,0,F
0.44,0.518519,0.186765,0.078125,0.428834,0.798204,0.265546,0.127294,0.11,0,D
0.24,0.038519,0.000204,0.28125,0.148466,0.89798,0,0.023394,0.55,0,A
1,0.937037,0.27402,0,0.566871,0.845597,0.476471,0.18578,0.12,0.024691,D
1,0.992593,0.568628,0.102083,0.858896,0.621103,0.816807,0.340596,0.076,0,F
0.44,0.451852,0.216177,0.091667,0.432515,0.793215,0.352941,0.174312,0.14,0,D
0.786667,0.385185,0.000221,0.102083,0,0.89798,0.252101,0.016628,0.54,0,A
1,0.966667,0.302451,0.015625,0.470552,0.850586,0.368067,0.219037,0.17,0,D
1,0.962963,0.305883,0,0.705521,0.743328,0.690756,0.231651,0.17,0,F
0.76,0.696296,0.329902,0.060417,0.452147,0.810676,0.366387,0.220183,0.15,0,D
0.52,0,0,0,0.109202,0.000499,0.027731,0,1,0,A
1,0.951852,0.367647,0.0125,0.638037,0.850586,0.536134,0.219037,0.086,0,C
1,0.966667,0.425981,0.014583,0.773006,0.656024,0.751261,0.233945,0.13,0,D
0.56,0.622222,0.308333,0.089583,0.496319,0.800698,0.438655,0.166284,0.1,0,D
0.32,0.925926,0.000006,0,0.152761,0.972811,0,0.001227,0.89,0,A
1,0.937037,0.236275,0.013542,0.699387,0.838114,0.648739,0.15711,0.077,0,C
1,0.966667,0.337255,0.022917,0.742331,0.680968,0.744538,0.202982,0.15,0,D
0.56,0.559259,0.231863,0.069792,0.662577,0.728361,0.621008,0.142202,0.11,0,D
0.508,0.762963,0.000041,0,0.081595,0.960339,0.154622,0.008693,0.74,0,A
1,0.959259,0.429902,0.010417,0.723926,0.860564,0.576471,0.235092,0.092,0,C
1,0.974074,0.215196,0.019792,0.840491,0.748316,0.747899,0.136468,0.15,0,D
0.48,0.411111,0.143137,0.066667,0.479755,0.713395,0.461345,0.142202,0.077,0,D
0.317333,0.09037,0.000173,0.28125,0.130061,0.873036,0,0.00547,0.81,0,A
1,0.97037,0.442647,0,0.723926,0.828137,0.672269,0.233945,0.016,0,C
1,0.988889,0.288726,0,0.699387,0.618608,0.694958,0.172018,0.2,0,D
0.48,0.52963,0.234314,0.065625,0.469939,0.758294,0.314286,0.170872,0.065,0,D
