@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE mcsDown REAL
@ATTRIBUTE brateDown REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE mcsUp REAL
@ATTRIBUTE brateUp REAL
@ATTRIBUTE blerUp REAL

@ATTRIBUTE class {320,640,480,768,1024,1280,1920}


@DATA
15.0,26.7,663000.0,0,6.96,32.6,1.72,181,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1920
15.0,25.2,223000.0,4.5,6.17,34.8,2.13,176,8.6,1920
15.0,25.2,233000.0,0,8.05,30.5,3.08,82.6,5.6,1920
15.0,26.2,1200000.0,0,7.12,29.0,2.38,259,2.3,1920
15.0,26.7,1330000.0,0,6.97,28.8,1.97,324,0,1920
15.0,26.2,687000.0,0,6.80,29.8,1.84,196,0,1920
15.0,26.9,907000.0,0,6.99,32.1,1.99,214,1.6,1920
15.0,26.6,1060000.0,1.3,6.63,32.1,1.63,263,4.5,1920
15.0,26.9,789000.0,0,6.14,32.3,1.44,220,2.0,1280
15.0,26.4,618000.0,0,6.52,31.9,1.84,157,3.0,1280
15.0,26.7,1130000.0,0,6.75,30.7,1.75,261,1.7,1280
15.0,26.8,913000.0,0,6.89,30.9,1.77,200,3.1,1280
15.0,26.7,751000.0,0,7.05,28.3,2.20,184,2.5,1920
15.0,26.2,797000.0,1.5,6.85,31.6,1.74,223,4.8,1920
15.0,26.6,1260000.0,0,6.86,30.3,1.80,284,1.8,1920
15.0,26.5,637000.0,1.4,5.99,30.0,1.40,163,4.3,1920
15.0,26.5,832000.0,0,6.14,30.9,1.40,232,3.8,1280
15.0,25.0,333000.0,1.7,6.01,29.9,1.57,169,8.7,1280
15.0,26.4,818000.0,2.0,6.50,30.8,1.58,203,5.9,1280
15.0,26.5,836000.0,0,8.67,30.6,3.64,278,4.0,1280
14.6,25.1,903999.0,2.8,5.66,32.8,1.61,223,7.3,1024
15.0,26.3,555000.0,4.3,5.27,30.5,1.10,144,9.0,1024
13.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
14.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
14.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,10.00,1.22,0,2.76,29.0,0.0,1.65,33,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,25.1,341000.0,0,8.01,32.6,4.05,192,14,1280
15.0,25.8,791000.0,1.0,8.31,32.5,3.54,197,12,1280
15.0,25.9,1080000.0,0,7.33,29.8,2.54,295,1.7,1280
15.0,24.9,440000.0,0,6.70,32.2,3.05,151,12,1280
15.0,26.0,1040000.0,0,7.22,28.9,2.62,251,3.7,1280
15.0,26.1,1030000.0,0,7.20,28.7,2.48,264,5.4,1280
15.0,26.5,1190000.0,1.4,7.45,33.4,2.19,306,6.9,1280
15.0,26.3,1290000.0,0,6.75,30.6,2.38,315,9.5,1280
15.0,26.4,1070000.0,1.8,7.75,32.2,3.73,241,11,1280
15.0,26.5,1500000.0,0,7.25,31.0,2.28,343,0,1280
15.0,26.3,908000.0,0,7.05,28.6,2.19,228,7.3,1280
15.0,26.6,1530000.0,0,7.01,29.2,1.96,311,3.3,1280
15.0,26.7,1630000.0,0,7.00,31.5,2.35,339,3.6,1280
15.0,4.50,512,0,8.13,29.0,3.00,6.44,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,26.3,655000.0,0,5.62,29.7,0.0,172,2.1,1280
15.0,26.3,890000.0,0,6.86,29.9,2.16,172,1.8,1280
15.0,26.4,1660000.0,1.3,4.03,26.1,0.0,334,12,1280
15.0,26.5,1100000.0,0,4.87,27.4,0.0,306,2.3,1280
15.0,26.2,1180000.0,0,6.66,31.5,1.29,312,1.3,1280
15.0,25.6,227000.0,1.1,5.58,31.2,0.0,70.5,1.7,1280
