@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE blerUp REAL
@ATTRIBUTE class {A,B,C,D,E,F,G}


@DATA
5.21,8.7,1.37,36.0,54,A
15.0,0,0.0,0.0,0,D
15.0,1.5,7.38,27.5,11,C
7.80,6.8,13.7,27.1,3.3,C
12.6,0,2.30,36.0,41,A
15.0,0,0.0,0.0,0,D
15.0,0,7.90,26.4,6.2,C
7.80,5.8,14.8,27.6,0,C
7.80,3.1,1.23,36.0,86,A
15.0,0,0.0,0.0,0,D
15.0,1.3,7.45,26.9,5.4,C
8.40,11,12.2,28.6,3.3,C
8.84,28,1.30,38.0,51,A
15.0,0,0.0,0.0,0,C
15.0,2.7,8.10,27.2,6.5,C
7.20,0,16.1,26.8,1.8,C
1.08,0,3.34,36.0,48,A
15.0,0,0.0,0.0,0,C
15.0,2.1,6.44,26.8,12,C
9.00,0,15.5,30.0,4.1,C
5.92,27,1.58,37.0,63,A
15.0,0,0.0,0.0,0,C
15.0,2.1,6.36,27.0,12,C
7.20,6.3,14.4,27.9,0,C
10.5,41,2.05,36.0,33,A
15.0,0,0.0,0.0,0,C
15.0,0,8.32,27.7,5.0,C
9.00,0,14.8,26.8,7.5,C
4.20,15,3.74,38.0,27,A
15.0,0,0.0,0.0,0,C
15.0,1.1,7.82,27.6,10,C
10.2,1.7,12.6,27.3,2.7,C
8.16,0,0.0,0.0,100,A
15.0,0,0.0,0.0,0,C
15.0,0,7.76,26.4,4.9,C
12.0,1.0,15.9,26.9,0,C
3.00,15,2.84,37.8,41,A
15.0,0,0.0,0.0,0,C
15.0,2.1,6.68,26.5,17,C
6.88,16,14.1,26.9,3.3,C
8.25,14,1.23,38.0,58,A
15.0,0,0.0,0.0,0,C
15.0,2.2,7.50,25.7,12,C
4.20,20,14.3,25.7,4.4,C
7.20,9.3,1.19,36.0,81,A
15.0,0,0.0,0.0,0,C
15.0,4.1,5.67,26.9,16,C
10.2,3.5,14.2,29.4,2.4,C
0.00,7.1,1.02,36.8,68,A
15.0,0,0.0,0.0,0,C
15.0,1.8,7.37,26.3,7.7,C
0.0,87,14.2,24.1,4.2,C
8.40,23,2.83,37.2,37,A
15.0,0,0.0,0.0,0,C
15.0,3.6,7.72,29.2,20,C
2.40,56,13.6,28.2,2.8,C
5.22,14,1.96,36.8,48,A
15.0,0,0.0,0.0,0,C
15.0,3.6,6.79,28.4,6.6,C
8.40,15,13.5,26.9,8.1,C
7.50,29,0.0,40.0,57,A
15.0,0,9.69,33.1,4.9,C
15.0,3.8,7.13,27.1,16,C
6.60,10,13.0,24.0,3.7,C
11.1,34,1.92,38.3,45,A
15.0,0,9.96,33.7,5.8,C
15.0,1.3,5.78,29.6,20,C
1.20,9.3,7.13,25.3,32,C
14.2,18,4.59,0.0,100,A
15.0,0,10.5,33.8,4.0,C
15.0,5.0,5.15,26.4,21,C
8.75,3.5,10.2,30.1,13,C
8.40,11,2.01,40.0,65,A
15.0,0,10.3,33.1,9.6,C
14.9,5.6,8.64,29.9,18,C
3.60,13,8.20,31.5,25,D
8.57,0,2.08,35.0,64,A
15.0,0,10.2,32.2,13,C
15.0,0,9.38,29.0,26,C
10.2,4.1,11.3,28.4,9.5,D
2.50,27,3.48,38.8,45,A
15.0,0,7.43,32.8,5.5,C
15.0,0,0.0,0.0,0,C
10.8,5.5,6.53,28.9,21,D
0.0,38,0.0,0.0,100,A
15.0,0,9.14,33.2,1.4,C
15.0,0,0.0,0.0,0,C
8.40,0,12.4,27.3,16,D
0.0,26,1.21,37.8,66,A
15.0,0,12.6,34.3,1.4,C
15.0,0,9.43,27.09,0,C
8.40,4.5,10.5,28.2,6.4,C
3.00,10,1.49,35.0,76,A
15.0,0,11.4,32.7,1.7,G
15.0,0,0.0,0.0,0,G
10.8,4.8,6.82,25.6,29,C
1.88,47,3.22,0.0,100,A
15.0,0,11.4,33.8,5.4,G
15.0,0,0.0,0.0,0,G
12.6,3.7,8.68,26.0,20,C
0.0,93,0.0,0.0,100,A
15.0,0,9.80,34.1,14,G
15.0,0,4.53,24.04,0,G
10.2,21,9.28,24.3,32,C
0.0,0,1.01,36.5,68,A
13.9,5.1,11.3,34.8,8.0,G
15.0,0,8.64,24.0,0,G
5.36,2.0,16.3,26.8,0,D
3.00,4.2,4.05,36.7,11,A
15.0,0,15.7,34.0,0,G
15.0,0,0.0,0.0,0,C
7.80,0,12.9,27.4,0,D
3.00,6.3,3.30,36.8,26,A
15.0,0,0.0,0.0,0,G
15.0,0,0.0,0.0,0,C
7.20,1.6,11.8,27.9,0,D
1.96,4.8,3.04,36.3,29,A
15.0,0,10.7,34.5,0,G
15.0,0,0.0,0.0,0,C
9.60,0,12.0,27.2,0,D
2.50,17,4.24,37.7,18,A
15.0,0,0.0,0.0,0,G
15.0,0,0.0,0.0,0,C
7.20,0,13.8,27.9,0,D
3.60,19,5.22,36.1,19,A
15.0,0,0.0,0.0,0,C
15.0,0,0.0,0.0,0,C
7.80,0,14.2,28.9,0,B
0.0,16,2.29,37.7,37,A
15.0,0,0.0,0.0,0,C
15.0,0,0.0,0.0,0,C
5.40,0,15.8,27.1,0,B
1.79,4.5,3.19,35.8,44,A
15.0,0,10.9,33.0,0,C
15.0,14,9.14,25.0,21,C
4.20,1.2,13.1,27.8,0,B
0.0,6.7,3.42,35.4,24,A
15.0,0,0.0,0.0,0,C
15.0,24,8.29,29.1,24,C
10.2,6.8,11.5,26.2,5.1,B
2.40,36,1.89,40.0,89,A
15.0,0,9.75,34.3,5.2,C
14.8,5.1,6.32,27.6,28,C
4.20,5.4,6.92,26.8,26,B
8.27,0,0.0,0.0,100,A
15.0,0,8.64,34.1,7.5,C
14.7,3.2,9.68,27.8,18,C
4.80,11,7.06,30.7,24,B
8.55,63,1.59,36.2,59,A
15.0,0,9.11,34.4,3.7,C
15.0,0,10.1,31.0,19,C
3.04,11,11.2,28.4,9.5,B
0.0,12,2.79,38.6,39,A
15.0,0,9.57,33.5,3.0,C
15.0,15,8.11,29.3,20,C
6.83,15,6.61,30.2,52,F
1.20,58,1.79,0.0,62,A
15.0,0,12.0,34.1,2.1,G
15.0,31,6.50,25.6,51,C
8.91,9.1,5.26,28.9,47,F
3.43,96,1.89,38.0,67,A
15.0,0,12.5,33.7,1.8,G
15.0,2.6,8.63,23.9,20,C
4.20,17,11.0,29.1,5.0,F
2.09,12,4.58,36.7,40,A
15.0,0,9.82,33.3,7.5,G
15.0,17,9.25,22.8,19,C
9.60,3.6,7.91,27.2,45,F
0.0,9.1,1.31,38.0,73,A
15.0,0,12.3,34.4,5.1,G
15.0,17,11.0,23.9,15,C
3.40,4.9,11.3,29.2,5.0,F
5.30,2.8,5.39,37.0,11,A
15.0,0,12.2,33.9,2.1,C
15.0,0,10.2,23.1,8.4,C
4.80,5.3,12.0,31.9,15,F
1.92,30,4.68,35.0,12,A
15.0,0,0.0,0.0,0,C
15.0,0,12.2,26.2,6.7,C
1.80,6.2,12.0,28.0,9.5,F
2.60,3.0,4.01,35.3,17,A
15.0,0,0.0,0.0,0,C
15.0,0,11.3,24.6,6.2,C
7.20,4.2,11.8,29.6,14,F
5.76,8.8,1.37,35.0,57,A
15.0,0,10.2,34.01,0,C
15.0,1.4,9.95,25.7,7.9,C
9.00,6.0,13.5,29.6,9.1,F
6.33,0,0.0,37.0,91,A
15.0,0,0.0,0.0,0,C
15.0,0,10.5,25.2,16,C
7.80,6.7,11.2,29.2,10,D
4.81,30,1.37,36.2,59,A
15.0,0,0.0,0.0,0,C
14.4,0,11.1,25.2,11,C
5.40,7.5,11.8,29.5,8.8,D
3.96,17,2.90,37.0,59,A
15.0,0,0.0,0.0,0,C
15.0,0,8.37,25.7,14,C
4.24,17,10.5,29.3,5.7,D
2.62,5.4,2.65,35.0,58,A
15.0,0,0.0,0.0,0,C
15.0,2.0,9.77,27.7,14,C
6.00,21,11.1,29.2,6.8,D
7.08,14,2.13,35.8,45,A
15.0,0,8.96,32.4,0,G
15.0,3.4,7.21,28.2,25,F
9.68,4.8,6.92,28.2,31,D
0.0,13,0.0,35.0,87,A
14.4,0,10.2,33.5,4.7,G
15.0,6.8,5.03,26.4,41,F
10.2,23,6.63,31.2,45,D
5.43,50,0.0,38.0,89,A
15.0,0,11.2,33.9,2.8,G
15.0,5.2,8.30,27.2,26,F
4.20,14,12.6,27.6,17,D
5.00,15,2.02,37.0,43,A
15.0,0,11.0,34.7,0,G
15.0,0,10.1,26.2,22,F
4.20,25,10.6,28.0,20,D
2.09,29,2.75,37.5,40,A
15.0,0,9.94,33.7,2.2,C
15.0,2.9,7.52,25.8,22,F
3.00,14,5.87,28.3,35,D
8.60,39,0.0,0.0,100,A
